,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price
33,363.05,29.8,1544.9,839.6,240.7,184.6,1102.95,517.35,326.75,1373.1,246.25,80.75,639.4,400.8,294.25,555.6,919.75,529.0,2690.1,27039.4,220.5,164.4,361.45,19.65,387.65,1687.6,55.25,724.7,539.95,564.05
34,368.0,29.7,1532.5,841.5,254.6,185.75,1120.25,517.25,328.25,1387.15,246.15,85.4,649.35,404.7,292.9,551.85,912.0,529.05,2682.55,27766.8,223.5,162.0,367.1,19.6,394.6,1687.25,54.2,768.05,545.05,582.9
35,371.7,28.85,1528.2,856.4,251.2,188.3,1108.55,508.4,324.4,1379.55,244.4,83.1,657.2,401.55,291.5,545.05,913.45,534.4,2623.7,27850.95,226.25,163.25,365.35,18.55,392.55,1683.35,54.9,765.25,532.65,577.5
36,372.9,28.7,1537.5,848.3,254.55,190.0,1126.65,513.9,321.3,1398.55,244.95,88.35,662.1,400.3,286.7,545.9,913.7,541.8,2664.95,28067.1,228.3,155.95,363.05,18.9,394.45,1695.3,60.45,815.65,531.05,582.05
37,373.05,28.3,1516.25,846.5,256.4,187.25,1132.15,509.5,330.8,1399.3,244.6,90.15,660.05,399.95,289.9,542.85,914.05,544.8,2667.9,27689.1,228.45,161.15,361.5,19.0,395.4,1697.6,60.65,819.65,604.45,591.95
38,371.6,28.4,1549.0,859.1,258.75,190.0,1115.45,503.15,328.6,1391.7,245.15,89.55,663.95,399.95,288.8,547.15,909.35,539.15,2705.4,27852.25,229.95,162.35,358.95,19.3,392.25,1704.4,59.95,808.2,589.7,590.7
39,374.95,29.8,1537.65,866.35,257.25,188.45,1127.75,509.95,330.7,1412.8,251.65,89.55,664.65,400.1,289.5,549.2,912.55,529.65,2726.2,27931.3,229.35,158.85,366.0,19.0,393.6,1732.15,56.5,815.55,575.45,605.95
40,372.7,29.25,1503.6,850.35,249.6,189.45,1131.75,506.8,339.2,1419.2,254.8,86.5,678.3,403.0,281.0,538.45,908.05,524.7,2691.25,28130.9,224.15,162.55,363.25,18.45,390.4,1741.1,56.0,788.85,564.5,605.1
41,373.85,29.4,1474.8,851.95,252.25,191.65,1133.7,506.75,333.85,1443.7,257.2,88.5,683.7,399.35,281.4,539.95,911.0,514.3,2690.1,28258.5,226.35,161.0,369.85,18.05,390.85,1739.55,57.3,802.65,600.4,609.7
42,375.95,30.25,1475.05,852.15,251.5,193.8,1125.5,511.9,330.5,1485.9,255.55,88.1,458.55,408.4,284.0,543.65,931.0,513.75,2694.0,28055.95,226.35,162.9,372.05,17.95,391.4,1175.1,56.5,806.8,581.55,614.75
43,375.6,29.7,1492.95,844.55,251.0,190.95,1117.35,512.95,339.1,1499.4,253.25,86.55,460.8,406.25,283.15,548.05,935.05,514.95,2703.0,27907.15,222.8,164.1,390.35,18.0,387.8,1171.2,56.15,792.25,585.75,617.05
44,381.25,30.05,1486.6,840.15,253.35,188.5,1125.45,510.5,336.8,1538.5,253.2,86.15,467.45,406.3,293.5,556.5,936.4,514.0,2697.25,28059.55,221.5,162.95,386.15,18.05,392.1,1171.25,56.1,800.2,582.5,611.4
45,381.9,29.9,1462.35,843.1,252.85,187.0,1146.6,516.55,332.0,1512.35,253.15,85.0,468.6,408.75,292.15,559.75,935.4,508.4,2718.95,28598.5,221.2,148.4,379.05,17.7,388.5,1177.9,57.3,794.3,574.55,605.35
46,381.05,30.25,1461.1,834.2,255.9,189.7,1155.85,520.2,333.1,1541.85,256.25,88.35,469.85,406.55,288.6,568.25,966.4,506.65,2774.0,29215.0,218.25,150.4,379.35,18.1,405.95,1181.3,59.4,795.5,583.75,609.7
47,380.0,29.9,1466.45,833.75,253.7,187.1,1155.55,540.0,335.4,1595.35,253.75,88.7,467.2,408.55,286.2,571.9,974.45,484.3,2750.1,29252.65,218.15,150.7,379.15,17.8,401.85,1185.65,59.1,807.55,572.55,591.9
48,381.9,32.05,1464.2,839.1,252.4,188.05,1156.1,540.8,336.85,1621.35,252.35,87.6,467.15,404.45,286.8,566.2,1004.65,484.25,2762.55,28903.15,216.65,157.0,377.0,18.0,397.35,1179.25,58.3,800.8,568.95,597.15
49,388.45,33.05,1441.6,843.25,253.7,184.8,1155.75,534.8,338.45,1597.4,255.2,85.9,466.2,410.0,285.25,569.75,1028.0,483.55,2696.45,28843.75,215.3,163.55,377.0,18.65,396.0,1178.0,58.95,808.85,571.2,598.55
50,390.75,33.15,1450.15,846.05,264.55,185.0,1150.1,544.95,336.05,1627.5,253.5,86.35,466.9,409.65,286.95,564.4,1005.4,481.85,2692.15,28407.45,216.7,167.05,373.35,18.8,394.75,1170.85,58.65,806.9,565.8,587.4
51,393.05,34.95,1435.95,847.65,266.9,181.95,1134.0,528.85,340.65,1687.15,255.4,85.6,471.4,411.85,299.05,575.45,999.85,480.2,2707.35,29002.45,217.25,168.65,375.65,19.15,412.95,1180.25,58.35,803.8,560.8,584.9
52,392.5,33.95,1410.45,846.95,261.9,183.95,1148.8,524.65,339.15,1679.35,249.0,83.3,477.2,408.0,299.1,568.7,959.6,481.8,2620.35,29102.25,214.9,166.25,378.7,19.3,405.65,1182.05,57.6,786.95,563.15,573.55
53,395.75,33.7,1420.9,840.5,263.2,184.3,1153.25,515.1,335.7,1701.35,251.4,83.3,475.6,404.5,299.65,566.1,989.9,479.5,2464.95,29388.4,216.45,163.65,379.95,18.9,403.75,1161.4,59.55,786.25,562.3,596.25
54,395.9,33.5,1397.15,834.4,266.5,185.55,1161.7,519.8,327.7,1703.1,247.8,83.6,471.15,402.6,295.2,560.1,987.75,477.45,2383.2,30081.2,217.5,159.1,376.75,18.8,399.7,1193.95,58.75,791.75,540.85,596.7
55,404.0,33.35,1388.85,847.45,266.95,179.95,1148.2,516.55,323.05,1716.25,248.75,83.15,485.6,400.65,280.45,562.45,970.6,472.6,2431.55,31504.8,223.8,155.55,373.85,18.7,402.3,1190.05,58.7,789.3,534.9,595.5
56,411.25,33.2,1374.6,842.7,277.75,185.4,1144.5,516.9,329.0,1707.2,250.75,82.15,486.3,399.95,283.85,568.55,992.75,473.3,2378.55,31153.8,221.95,155.45,369.9,18.5,398.05,1176.8,58.2,776.7,531.6,591.35
57,407.35,32.5,1338.05,817.65,270.85,179.65,1146.1,506.0,328.25,1701.75,247.0,79.4,490.0,396.4,274.6,557.15,949.3,465.9,2323.95,30726.05,222.15,153.3,370.55,17.9,401.05,1174.75,56.95,763.6,522.45,588.15
58,406.65,32.9,1340.55,805.8,262.25,179.35,1157.3,508.1,325.9,1723.45,241.35,81.5,517.9,391.75,260.75,568.7,936.6,471.05,2239.55,31637.25,215.8,163.3,377.75,17.65,399.75,1175.85,57.55,769.15,515.8,609.4
