,Date,Unnamed: 0,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,year,month,Day_Perc_Change,Trend,Log_Ret,Volatility,a,b,Rolling Mean,Bollinger High,Bollinger Low,Call
49,2017-07-25,50,INFY,EQ,990.55,990.0,999.0,986.2,994.0,993.85,992.82,3572807,3547155443.75,104586,2636530,73.79,2017,7,0.003331482509716821,Slight or No change,0.0033259454162724122,0.023509889539033768,962.0071428571423,957.095588235294,972.8357142857144,1005.654832273474,940.0165962979546,Hold Buy/Liquidate Short
50,2017-07-26,51,INFY,EQ,993.85,998.1,999.0,990.4,994.0,994.05,993.84,3435012,3413852845.2,104013,2857462,83.19,2017,7,0.00020123761130941278,Slight or No change,0.00020121736573737816,0.021025683726645518,965.1976190476187,958.0588235294116,976.1964285714287,1007.2050989292917,945.1877582135654,Hold Buy/Liquidate Short
51,2017-07-27,52,INFY,EQ,994.05,996.0,1004.0,966.8,969.85,971.05,981.64,6338426,6222055606.7,100543,4878648,76.97,2017,7,-0.023137669131331414,Slight or No change,-0.02340954693088517,0.032537715912223146,967.4047619047617,958.4882352941175,978.7428571428572,999.4707965611266,958.0149177245876,Hold Buy/Liquidate Short
52,2017-07-28,53,INFY,EQ,971.05,976.0,1003.0,962.3,995.7,997.35,987.2,5549214,5478201640.4,92083,3196985,57.61,2017,7,0.02708408423871078,Slight or No change,0.02672380124511337,0.04285542865258477,970.6023809523804,959.9220588235294,981.6214285714287,1000.481182802868,962.7616743399893,Hold Buy/Liquidate Short
53,2017-07-31,54,INFY,EQ,997.35,991.9,1021.7,986.75,1015.0,1011.2,1007.77,9579124,9653593591.35,194493,6840218,71.41,2017,7,0.013886800020053158,Slight or No change,0.013791261876019345,0.04100699955178474,974.2047619047617,961.3147058823528,984.1821428571428,1008.3593924030356,960.0048933112503,Hold Buy/Liquidate Short
54,2017-08-01,55,INFY,EQ,1011.2,1011.0,1017.0,998.35,1004.5,1005.55,1005.38,3844699,3865373992.85,74672,2634496,68.52,2017,8,-0.005587420886076001,Slight or No change,-0.005603088911981163,0.042020336507269454,976.7595238095233,962.7191176470587,986.5535714285713,1012.1997276643564,960.9074151927864,Hold Buy/Liquidate Short
55,2017-08-02,56,INFY,EQ,1005.55,1006.0,1012.75,987.2,989.1,993.35,999.06,2128792,2126780544.95,64338,1154252,54.22,2017,8,-0.012132663716374005,Slight or No change,-0.012206865266539215,0.04377810640314792,978.2452380952376,963.7411764705884,987.7178571428572,1012.982627602404,962.4530866833107,Hold Buy/Liquidate Short
56,2017-08-03,57,INFY,EQ,993.35,991.0,998.75,980.25,981.8,984.0,988.23,2320174,2292869696.85,64881,1484098,63.96,2017,8,-0.009412593748427069,Slight or No change,-0.009457172161819127,0.04464027945517822,979.8214285714281,964.679411764706,988.5714285714287,1012.3178036562764,964.8250534865808,Hold Buy/Liquidate Short
57,2017-08-04,58,INFY,EQ,984.0,988.0,989.0,976.05,983.5,983.75,981.53,2674509,2625108704.9,54851,1951568,72.97,2017,8,-0.00025406504065039753,Slight or No change,-0.0002540973206404316,0.04462327176945114,981.5714285714281,965.9588235294119,988.5500000000003,1012.314485461098,964.7855145389025,Hold Buy/Liquidate Short
58,2017-08-07,59,INFY,EQ,983.75,983.5,983.75,965.7,966.5,968.25,972.33,3036872,2952834608.05,75997,2439913,80.34,2017,8,-0.01575603557814487,Slight or No change,-0.015881481336751425,0.040777993903068264,983.1357142857137,967.088235294118,987.3107142857144,1013.4307089426641,961.1907196287648,Hold Buy/Liquidate Short
